policy	workload	accesses	hits	misses	hit_rate	resident	capacity	b1_len	b2_len	memory_overhead_per_cached_block	seed
s3fifo	sequential_scan	16384	0	16384	0.000000	51	512	512	0	10.039216	2711683073
s3fifo	zipf_distribution	24000	18418	5582	0.767417	511	512	512	0	1.001957	2711683074
s3fifo	mixed_seq70_hot30	24000	7412	16588	0.308833	115	512	512	0	4.452174	2711683075
s3fifo	compile_like	14848	2185	12663	0.147158	640	640	640	0	1.000000	2711683076
s3fifo	database_like	38880	32935	5945	0.847094	768	768	768	0	1.000000	2711683077
